0.000,5.000
0.100,5.300
0.200,5.600
0.300,5.900
0.400,6.200
0.500,6.500
0.600,6.800
0.700,7.100
0.800,7.400
0.900,7.700
1.000,8.000
1.100,8.300
1.200,8.600
1.300,8.900
1.400,9.200
1.500,9.500
1.600,9.800
1.700,10.100
1.800,10.400
1.900,10.700
2.000,11.000
2.100,11.300
2.200,11.600
2.300,11.900
2.400,12.200
2.500,12.500
2.600,12.800
2.700,13.100
2.800,13.400
2.900,13.700
3.000,14.000
3.100,14.300
3.200,14.600
3.300,14.900
3.400,15.200
3.500,15.500
3.600,15.800
3.700,16.100
3.800,16.400
3.900,16.700
4.000,17.000
4.100,17.300
4.200,17.600
4.300,17.900
4.400,18.200
4.500,18.500
4.600,18.800
4.700,19.100
4.800,19.400
4.900,19.700
5.000,20.000
5.100,20.300
5.200,20.600
5.300,20.900
5.400,21.200
5.500,21.500
5.600,21.800
5.700,22.100
5.800,22.400
5.900,22.700
6.000,23.000
6.100,23.300
6.200,23.600
6.300,23.900
6.400,24.200
6.500,24.500
6.600,24.800
6.700,25.100
6.800,25.400
6.900,25.700
7.000,26.000
7.100,26.300
7.200,26.600
7.300,26.900
7.400,27.200
7.500,27.500
7.600,27.800
7.700,28.100
7.800,28.400
7.900,28.700
8.000,29.000
8.100,29.300
8.200,29.600
8.300,29.900
8.400,30.200
8.500,30.500
8.600,30.800
8.700,31.100
8.800,31.400
8.900,31.700
9.000,32.000
9.100,32.300
9.200,32.600
9.300,32.900
9.400,33.200
9.500,33.500
9.600,33.800
9.700,34.100
9.800,34.400
9.900,34.700
10.000,35.000
10.100,35.300
10.200,35.600
10.300,35.900
10.400,36.200
10.500,36.500
10.600,36.800
10.700,37.100
10.800,37.400
10.900,37.700
11.000,38.000
11.100,38.300
11.200,38.600
11.300,38.900
11.400,39.200
11.500,39.500
11.600,39.800
11.700,40.100
11.800,40.400
11.900,40.700
12.000,41.000
12.100,41.300
12.200,41.600
12.300,41.900
12.400,42.200
12.500,42.500
12.600,42.800
12.700,43.100
12.800,43.400
12.900,43.700
13.000,44.000
13.100,44.300
13.200,44.600
13.300,44.900
13.400,45.200
13.500,45.500
13.600,45.800
13.700,46.100
13.800,46.400
13.900,46.700
14.000,47.000
14.100,47.300
14.200,47.600
14.300,47.900
14.400,48.200
14.500,48.500
14.600,48.800
14.700,49.100
14.800,49.400
14.900,49.700
15.000,50.000
15.100,50.300
15.200,50.600
15.300,50.900
15.400,51.200
15.500,51.500
15.600,51.800
15.700,52.100
15.800,52.400
15.900,52.700
16.000,53.000
16.100,53.300
16.200,53.600
16.300,53.900
16.400,54.200
16.500,54.500
16.600,54.800
16.700,55.100
16.800,55.400
16.900,55.700
17.000,56.000
17.100,56.300
17.200,56.600
17.300,56.900
17.400,57.200
17.500,57.500
17.600,57.800
17.700,58.100
17.800,58.400
17.900,58.700
18.000,59.000
18.100,59.300
18.200,59.600
18.300,59.900
18.400,60.200
18.500,60.500
18.600,60.800
18.700,61.100
18.800,61.400
18.900,61.700
19.000,62.000
19.100,62.300
19.200,62.600
19.300,62.900
19.400,63.200
19.500,63.500
19.600,63.800
19.700,64.100
19.800,64.400
19.900,64.700
20.000,65.000
20.100,65.300
20.200,65.600
20.300,65.900
20.400,66.200
20.500,66.500
20.600,66.800
20.700,67.100
20.800,67.400
20.900,67.700
21.000,68.000
21.100,68.300
21.200,68.600
21.300,68.900
21.400,69.200
21.500,69.500
21.600,69.800
21.700,70.100
21.800,70.400
21.900,70.700
22.000,71.000
22.100,71.300
22.200,71.600
22.300,71.900
22.400,72.200
22.500,72.500
22.600,72.800
22.700,73.100
22.800,73.400
22.900,73.700
23.000,74.000
23.100,74.300
23.200,74.600
23.300,74.900
23.400,75.200
23.500,75.500
23.600,75.800
23.700,76.100
23.800,76.400
23.900,76.700
24.000,77.000
24.100,77.300
24.200,77.600
24.300,77.900
24.400,78.200
24.500,78.500
24.600,78.800
24.700,79.100
24.800,79.400
24.900,79.700
25.000,80.000
25.100,80.300
25.200,80.600
25.300,80.900
25.400,81.200
25.500,81.500
25.600,81.800
25.700,82.100
25.800,82.400
25.900,82.700
26.000,83.000
26.100,83.300
26.200,83.600
26.300,83.900
26.400,84.200
26.500,84.500
26.600,84.800
26.700,85.100
26.800,85.400
26.900,85.700
27.000,86.000
27.100,86.300
27.200,86.600
27.300,86.900
27.400,87.200
27.500,87.500
27.600,87.800
27.700,88.100
27.800,88.400
27.900,88.700
28.000,89.000
28.100,89.300
28.200,89.600
28.300,89.900
28.400,90.200
28.500,90.500
28.600,90.800
28.700,91.100
28.800,91.400
28.900,91.700
29.000,92.000
29.100,92.300
29.200,92.600
29.300,92.900
29.400,93.200
29.500,93.500
29.600,93.800
29.700,94.100
29.800,94.400
29.900,94.700
30.000,95.000
30.100,95.300
30.200,95.600
30.300,95.900
30.400,96.200
30.500,96.500
30.600,96.800
30.700,97.100
30.800,97.400
30.900,97.700
31.000,98.000
31.100,98.300
31.200,98.600
31.300,98.900
31.400,99.200
31.500,99.500
31.600,99.800
31.700,100.100
31.800,100.400
31.900,100.700
32.000,101.000
32.100,101.300
32.200,101.600
32.300,101.900
32.400,102.200
32.500,102.500
32.600,102.800
32.700,103.100
32.800,103.400
32.900,103.700
33.000,104.000
33.100,104.300
33.200,104.600
33.300,104.900
33.400,105.200
33.500,105.500
33.600,105.800
33.700,106.100
33.800,106.400
33.900,106.700
34.000,107.000
34.100,107.300
34.200,107.600
34.300,107.900
34.400,108.200
34.500,108.500
34.600,108.800
34.700,109.100
34.800,109.400
34.900,109.700
