1.39;-9.03511;-7.22355;31.2316
1.4;-8.84523;-6.8636;31.2366
1.41;-8.63969;-6.51512;31.1971
1.42;-8.42126;-6.18207;31.1155
1.43;-8.19281;-5.86775;30.9948
1.44;-7.9572;-5.57477;30.8383
1.45;-7.71725;-5.3051;30.6496
1.46;-7.47565;-5.06005;30.4323
1.47;-7.23494;-4.84039;30.1901
1.48;-6.99748;-4.64635;29.9263
1.49;-6.76539;-4.47776;29.6443
1.5;-6.54055;-4.33408;29.3474
1.51;-6.3246;-4.21452;29.0383
1.52;-6.11896;-4.1181;28.7198
1.53;-5.92478;-4.04369;28.3943
1.54;-5.74302;-3.9901;28.0639
1.55;-5.57441;-3.95615;27.7306
1.56;-5.41952;-3.94062;27.3963
1.57;-5.27874;-3.9424;27.0624
1.58;-5.15232;-3.96042;26.7305
1.59;-5.04039;-3.99371;26.4017
1.6;-4.94298;-4.04139;26.0774
1.61;-4.86004;-4.10272;25.7585
1.62;-4.79147;-4.17702;25.4461
1.63;-4.73709;-4.26374;25.1412
1.64;-4.69673;-4.36245;24.8447
1.65;-4.67016;-4.47278;24.5575
1.66;-4.65718;-4.59445;24.2805
1.67;-4.65755;-4.72728;24.0146
1.68;-4.67105;-4.87112;23.7606
1.69;-4.69749;-5.02589;23.5195
1.7;-4.73667;-5.19153;23.2923
1.71;-4.78841;-5.36802;23.08
1.72;-4.85254;-5.55534;22.8836
1.73;-4.92892;-5.75346;22.7042
1.74;-5.0174;-5.9623;22.543
1.75;-5.11785;-6.18177;22.4012
1.76;-5.23014;-6.41167;22.2801
1.77;-5.35411;-6.65174;22.1811
1.78;-5.48961;-6.90158;22.1056
1.79;-5.63644;-7.16066;22.0551
1.8;-5.79437;-7.42826;22.0311
1.81;-5.96311;-7.70347;22.0352
1.82;-6.1423;-7.98513;22.069
1.83;-6.33151;-8.27185;22.1339
1.84;-6.53017;-8.56189;22.2316
1.85;-6.7376;-8.85325;22.3633
1.86;-6.953;-9.14353;22.5304
1.87;-7.17535;-9.43;22.7339
1.88;-7.4035;-9.70955;22.9745
1.89;-7.63607;-9.97871;23.2527
1.9;-7.87146;-10.2337;23.5683
1.91;-8.10787;-10.4703;23.9207
1.92;-8.34323;-10.6843;24.3088
1.93;-8.57528;-10.871;24.7304
1.94;-8.80152;-11.0261;25.1829
1.95;-9.01927;-11.145;25.6627
1.96;-9.22568;-11.2235;26.1652
1.97;-9.41783;-11.2579;26.685
1.98;-9.5927;-11.2451;27.2161
1.99;-9.74733;-11.1828;27.7514
2;-9.87886;-11.0696;28.2835
2.01;-9.98464;-10.9055;28.8045
2.02;-10.0623;-10.6914;29.3064
2.03;-10.1099;-10.4298;29.7812
2.04;-10.1259;-10.1241;30.2216
2.05;-10.1093;-9.77915;30.6205
2.06;-10.0598;-9.40075;30.9722
2.07;-9.97768;-8.99545;31.2716
2.08;-9.86377;-8.57041;31.5154
2.09;-9.71961;-8.13303;31.7012
2.1;-9.54724;-7.6907;31.8283
2.11;-9.34923;-7.25052;31.897
2.12;-9.12855;-6.81911;31.9089
2.13;-8.88847;-6.40233;31.8666
2.14;-8.6325;-6.00523;31.7736
2.15;-8.36423;-5.63193;31.6339
2.16;-8.08724;-5.2856;31.4519
2.17;-7.80505;-4.96849;31.2323
2.18;-7.52101;-4.682;30.9797
2.19;-7.23824;-4.42673;30.6989
2.2;-6.95961;-4.20265;30.394
2.21;-6.68765;-4.00917;30.0694
2.22;-6.4246;-3.84528;29.7287
2.23;-6.17237;-3.70966;29.3754
2.24;-5.93254;-3.60076;29.0126
2.25;-5.70639;-3.51693;28.643
2.26;-5.49493;-3.45647;28.269
2.27;-5.29891;-3.41768;27.8928
2.28;-5.11882;-3.39895;27.5161
2.29;-4.95501;-3.39875;27.1406
2.3;-4.8076;-3.4157;26.7677
2.31;-4.67661;-3.44853;26.3987
2.32;-4.56193;-3.49616;26.0347
2.33;-4.46338;-3.55764;25.6766
2.34;-4.38069;-3.63217;25.3255
2.35;-4.31357;-3.71913;24.9821
2.36;-4.26169;-3.818;24.6473
2.37;-4.22472;-3.92843;24.3219
2.38;-4.20232;-4.05015;24.0066
2.39;-4.19418;-4.18302;23.7023
2.4;-4.2;-4.32699;23.4097
2.41;-4.21949;-4.48208;23.1297
2.42;-4.25244;-4.64839;22.8631
2.43;-4.29862;-4.82606;22.6108
2.44;-4.35788;-5.01526;22.3739
2.45;-4.43006;-5.21618;22.1533
2.46;-4.51507;-5.42902;21.9503
2.47;-4.61283;-5.65395;21.766
2.48;-4.72328;-5.89111;21.6017
2.49;-4.84638;-6.14056;21.4589
2.5;-4.9821;-6.40228;21.3391
2.51;-5.1304;-6.67615;21.2438
2.52;-5.29123;-6.96187;21.1749
2.53;-5.4645;-7.25898;21.1342
2.54;-5.65007;-7.56678;21.1236
2.55;-5.84776;-7.88433;21.145
2.56;-6.05727;-8.21035;21.2006
2.57;-6.27822;-8.54324;21.2923
2.58;-6.51008;-8.88099;21.4223
2.59;-6.75215;-9.22116;21.5924
2.6;-7.00355;-9.56082;21.8044
2.61;-7.26319;-9.89654;22.0598
2.62;-7.52973;-10.2244;22.3599
2.63;-7.80154;-10.5398;22.7053
2.64;-8.0767;-10.838;23.0962
2.65;-8.35299;-11.1133;23.5318
2.66;-8.62787;-11.3602;24.0108
2.67;-8.89845;-11.5725;24.5307
2.68;-9.16157;-11.7442;25.0877
2.69;-9.41378;-11.8693;25.6772
2.7;-9.65142;-11.9423;26.2931
2.71;-9.87067;-11.9584;26.9281
2.72;-10.0677;-11.9136;27.5738
2.73;-10.2386;-11.8053;28.2207
